                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.53815,                0.39117,                0.92698,                0.76843,                0.97153,                0.85927,                 0.7301,                0.89221,                0.56298,                 1.1841,              0.0004555,              0.0004555,              0.0004555
                     57,                0.52378,                0.39046,                0.92566,                 0.7228,                 0.9541,                0.86036,                0.71561,                0.98476,                0.59154,                 1.2265,              0.0004456,              0.0004456,              0.0004456
                     58,                0.51968,                  0.379,                 0.9126,                0.75671,                0.93304,                 0.8347,                0.69155,                0.98501,                0.58464,                 1.2308,              0.0004357,              0.0004357,              0.0004357
                     59,                0.51696,                0.36744,                0.91823,                0.81105,                0.96342,                0.86324,                0.72876,                0.93807,                0.50447,                 1.1494,              0.0004258,              0.0004258,              0.0004258
                     60,                0.49807,                0.36765,                0.91185,                0.77727,                0.94361,                0.85579,                0.71799,                0.99155,                0.60323,                 1.2561,              0.0004159,              0.0004159,              0.0004159
                     61,                0.50489,                0.35557,                0.90732,                0.82498,                0.89402,                0.84165,                0.70923,                 1.0211,                0.58829,                 1.2039,               0.000406,               0.000406,               0.000406
                     62,                0.50796,                 0.3536,                0.91398,                0.80991,                 0.9332,                 0.8525,                0.70496,                0.99011,                0.55193,                 1.2523,              0.0003961,              0.0003961,              0.0003961
                     63,                0.48627,                0.35155,                0.91518,                0.83079,                0.88883,                 0.8535,                0.71287,                 1.0264,                0.68578,                 1.3483,              0.0003862,              0.0003862,              0.0003862
                     64,                0.50063,                0.35871,                 0.9127,                0.80772,                0.94595,                0.85035,                0.71833,                0.99881,                 0.5521,                 1.3361,              0.0003763,              0.0003763,              0.0003763
                     65,                0.48399,                0.33961,                0.90814,                0.79583,                0.92411,                0.85167,                0.70622,                 1.0104,                  0.592,                  1.299,              0.0003664,              0.0003664,              0.0003664
                     66,                0.48185,                0.34679,                0.90715,                 0.8127,                0.94783,                 0.8547,                0.70943,                0.96768,                0.58285,                 1.3153,              0.0003565,              0.0003565,              0.0003565
                     67,                0.48217,                0.34884,                0.91069,                 0.7868,                 0.9397,                0.84651,                0.72192,                0.82498,                0.56757,                 1.1682,              0.0003466,              0.0003466,              0.0003466
                     68,                0.47318,                 0.3437,                0.90735,                0.83955,                0.91524,                0.97301,                0.80641,                0.97165,                0.58766,                 1.2641,              0.0003367,              0.0003367,              0.0003367
                     69,                0.47098,                0.32766,                0.90518,                 0.7854,                 0.8849,                0.85391,                0.71997,                0.90431,                0.72795,                 1.1776,              0.0003268,              0.0003268,              0.0003268
                     70,                0.46308,                0.32941,                0.91211,                0.83925,                0.94856,                0.85376,                0.72844,                0.92313,                 0.5658,                 1.1733,              0.0003169,              0.0003169,              0.0003169
                     71,                0.46503,                0.31903,                0.90328,                0.75428,                0.93699,                0.85215,                0.72968,                0.89528,                0.56594,                 1.1811,               0.000307,               0.000307,               0.000307
